이름,카테고리,가격,단위,정규이름
[선물세트] 민어굴비 세트,수산_해산_건어물,59000,기타,[선물세트]민어굴비세트
[포트'럭] 남해안 활낙지 2종 (생물) (택1),수산_해산_건어물,13900,기타,[포트'럭]남해안활낙지2종(생물)(택1)
[Mr.주꾸미] 주꾸미 볶음 2종 (택1),수산_해산_건어물,10500,기타,[mr.주꾸미]주꾸미볶음2종(택1)
[옆집꽃님이네] 직화구이김 5g X 27봉 2종 (택1),수산_해산_건어물,21600,5g,[옆집꽃님이네]직화구이김x2종(택1)
[골라담기] 인기 안주거리 8종 (택2),수산_해산_건어물,3350,기타,[골라담기]인기안주거리8종(택2)
[모현상회] 대광어 지느러미회 (엔가와) 100g,수산_해산_건어물,13900,100g,[모현상회]대광어지느러미회(엔가와)
[대흥] 간편하게 손질된 모리타니아산 데친 문어 250g (냉장),수산_해산_건어물,13800,250g,[대흥]간편하게손질된모리타니아산데친문어(냉장)
"[Sea to table] 간편한 손질 가리비 관자살 300g (대,냉동)",수산_해산_건어물,6990,300g,"[seatotable]간편한손질가리비관자살(대,냉동)"
[대천김] 곱창 도시락김 5g X 12봉,수산_해산_건어물,6000,5g,[대천김]곱창도시락김x
[만선] 두툼한 양념장어구이 2종 (택1),수산_해산_건어물,19900,기타,[만선]두툼한양념장어구이2종(택1)
대용량 프리미엄 손질 생새우살 800g (냉동) (26/30 사이즈),수산_해산_건어물,20900,800g,대용량프리미엄손질생새우살(냉동)(26/30사이즈)
[영심] 해조류 5종 (냉장),수산_해산_건어물,2380,기타,[영심]해조류5종(냉장)
[제주창해] 제주 고등어살 120~150g X 4입 (냉동),수산_해산_건어물,5900,150g,[제주창해]제주고등어살120~x(냉동)
국산 붉은대게살 100g (냉장),수산_해산_건어물,6990,100g,국산붉은대게살(냉장)
[KF365] 노르웨이 생연어필렛 1kg (냉장),수산_해산_건어물,56900,1kg,[kf365]노르웨이생연어필렛(냉장)
[바른생선] 장문볼락살 600g (5~7쪽) (냉동),수산_해산_건어물,12900,600g,[바른생선]장문볼락살(5~7쪽)(냉동)
[비비고] 노릇하게 구운 갈치구이,수산_해산_건어물,4780,기타,[비비고]노릇하게구운갈치구이
[삼삼물산] 남해에서 온 바지락살 120g (생물),수산_해산_건어물,7690,120g,[삼삼물산]남해에서온바지락살(생물)
[비비고] 노릇하게 구운 고등어 구이,수산_해산_건어물,4330,기타,[비비고]노릇하게구운고등어구이
[바비엔] 오징어 볶음 2종 (택1),수산_해산_건어물,9900,기타,[바비엔]오징어볶음2종(택1)
[KF365] 참바지락 2종 (생물) (택1),수산_해산_건어물,8360,기타,[kf365]참바지락2종(생물)(택1)
[베베피쉬] 이유식용 국산 다짐살 9종 90g (냉동) (택1),수산_해산_건어물,7900,90g,[베베피쉬]이유식용국산다짐살9종(냉동)(택1)
[덕화명란] MSC 인증 백명란 100g,수산_해산_건어물,7380,100g,[덕화명란]msc인증백명란
[쌜모네키친] 오로라 생연어장 2종 (택1),수산_해산_건어물,10620,기타,[쌜모네키친]오로라생연어장2종(택1)
[KF365] 백합조개 500g (생물),수산_해산_건어물,4790,500g,[kf365]백합조개(생물)
[쌜모네키친] 연어 스테이크 200g (냉동),수산_해산_건어물,12900,200g,[쌜모네키친]연어스테이크(냉동)
[바른생선] 손질 가자미살 600g (냉동),수산_해산_건어물,11900,600g,[바른생선]손질가자미살(냉동)
Hallo! 노르웨이 고등어 130~160g X 3입 (냉동),수산_해산_건어물,9990,160g,hallo!노르웨이고등어130~x(냉동)
[FROYA] 항공직송 노르웨이 생연어 2종 (택1),수산_해산_건어물,16800,기타,[froya]항공직송노르웨이생연어2종(택1)
[바비엔] Oh! 촉촉 오징어구이 2종 (택1),수산_해산_건어물,10900,기타,[바비엔]oh!촉촉오징어구이2종(택1)
[쌜모네키친] 오로라 그라브락스 연어 200g,수산_해산_건어물,18890,200g,[쌜모네키친]오로라그라브락스연어
[건어물상회] 황태채 300g,수산_해산_건어물,12490,300g,[건어물상회]황태채
